RBC	RBC_Score	FBC	FBC_Score
RB12	100	unclassified	42.1809
unclassified	44.7059		0
RB12	100	NB67	100
RB10	100	NB91	100
unclassified	50.5042		0
RB09	100	NB30	78.8673
RB10	87.3524	unclassified	40.5748
unclassified	50.2131		0
RB10	90.7251	NB48	100
RB10	100	NB72	100
RB12	74.0989	NB84	100
RB11	70.7523	NB44	90.8707
RB12	100	unclassified	40.8094
RB10	84.9618	NB38	78.3091
unclassified	50.2131		0
RB12	100	unclassified	49.5319
RB09	100	unclassified	40.5932
unclassified	28.9249		0
unclassified	45.1833		0
RB09	100	NB17	100
RB12	100	NB71	85.6537
RB12	100	NB82	100
RB10	100	NB83	90.7627
unclassified	40.8511		0
RB11	87.743	NB03	100
RB09	100	NB84	100
unclassified	46.0426		0
RB09	100	unclassified	44.5478
RB11	84.7844	NB39	85.7264
RB12	100	NB14	100
RB12	100	NB93	100
RB11	85.5932	unclassified	37.2996
RB10	100	NB21	95.8824
unclassified	40.8511		0
unclassified	50.2131		0
RB09	85.6054	NB05	100
RB12	100	NB87	100
RB12	100	NB77	100
RB11	100	unclassified	35.3041
RB09	100	unclassified	51.5203
unclassified	51.3924		0
RB12	82.8164	NB91	90.7861
unclassified	42.2654		0
RB10	100	unclassified	43.0756
RB11	90.7861	NB35	87.7223
RB09	90.6859	unclassified	44.435
RB10	90.7251	NB29	87.7327
RB11	71.344	NB26	100
unclassified	63.1445		0
RB12	100	NB93	87.5949
RB10	100	unclassified	42.519
RB12	100	NB14	88.1356
RB09	100	NB45	95.8475
RB11	79.7458	unclassified	44.6989
RB10	100	NB29	100
RB11	100	NB05	85.617
RB12	100	unclassified	44.35
RB12	81.8106	NB80	100
RB09	73.4573	NB55	75.5725
RB11	100	unclassified	44.0978
RB09	100	NB26	95.7735
unclassified	37.3109		0
RB10	100	unclassified	34.6577
RB11	100	unclassified	47.0787
RB10	80.6071	NB38	100
RB10	100	NB40	100
RB10	100	unclassified	44.7749
unclassified	40.8355		0
RB10	100	NB18	91.5038
RB10	100	NB92	100
RB11	100	NB46	84.0604
RB12	100	NB87	100
unclassified	58.9271		0
RB10	100	unclassified	44.7749
unclassified	37.9747		0
unclassified	26.2891		0
RB10	90.7392	NB33	100
unclassified	34.8305		0
RB12	100	NB70	100
unclassified	40.8511		0
RB09	87.4049	NB21	100
RB09	95.9356	NB21	100
unclassified	34.2954		0
unclassified	36.4706		0
RB12	100	NB67	100
unclassified	34.7679		0
RB11	85.678	unclassified	47.8849
unclassified	42.2654		0
RB12	100	NB14	100
RB11	73.8983	unclassified	47.8849
RB09	100	NB74	85.6298
unclassified	40.339		0
RB10	91.5683	NB44	93.2375
RB10	100	unclassified	35.0297
RB11	79.9662	NB91	87.4894
RB11	75.339	unclassified	47.1489
RB09	100	unclassified	35.9018
RB12	100	NB82	75.6986
RB12	77.9487	NB34	71.185
RB10	94.9023	NB68	100
RB10	81.3084	NB43	100
RB11	100	NB91	100
RB12	100	NB36	100
RB09	90.6859	NB68	100
RB11	89.011	NB59	100
RB10	100	unclassified	34.6577
RB12	100	NB46	100
unclassified	42.2654		0
RB09	100	NB89	100
unclassified	35.4622		0
unclassified	52.8814		0
unclassified	44.3787		0
RB11	100	unclassified	35.8539
unclassified	50.5042		0
unclassified	41.6807		0
RB09	100	NB83	100
RB09	100	NB36	85.5319
unclassified	45.1613		0
RB10	100	unclassified	44.2568
RB11	100	NB78	100
RB09	87.6585	NB86	100
RB09	100	NB40	91.6879
RB12	71.453	unclassified	41.9983
RB11	71.3559	NB93	100
unclassified	58.2203		0
RB10	90.8938	NB70	79.05
RB11	100	NB43	90.7329
unclassified	34.0336		0
unclassified	41.4346		0
RB09	82.7265	unclassified	43.7765
RB10	95.7841	NB67	86.5433
RB09	100	NB82	90.7705
RB09	100	NB50	100
unclassified	40.8284		0
RB12	78.0342	unclassified	33.5038
RB11	100	NB94	81.519
unclassified	52.1849		0
unclassified	50.2131		0
RB10	100	NB18	91.5038
RB10	100	unclassified	52.071
RB10	85.6661	NB71	100
RB10	85.7504	NB95	91.5182
RB09	100	unclassified	52.9362
RB10	100	NB67	78.9739
RB09	100	NB80	71.198
RB11	100	unclassified	38.7669
unclassified	42.1849		0
RB12	84.8718	NB20	100
RB11	73.6264	NB49	100
unclassified	43.4746		0
unclassified	42.2654		0
RB09	100	unclassified	34.6577
unclassified	50.5042		0
RB10	100	unclassified	66.1304
RB12	100	NB82	87.4682
unclassified	32.7441		0
RB11	100	NB23	85.8467
RB10	100	unclassified	41.7235
unclassified	41.6807		0
unclassified	54.8605		0
unclassified	42.2654		0
RB10	100	NB70	100
unclassified	65.8005		0
unclassified	50.2131		0
unclassified	41.4141		0
unclassified	42.2654		0
unclassified	41.7797		0
RB09	95.9425	unclassified	59.4937
RB09	100	unclassified	39.8312
RB09	100	NB41	78.9474
RB11	100	unclassified	38.8186
RB09	95.9425	NB25	85.7385
RB10	82.4979	NB80	79.2693
RB09	73.3277	NB56	94.9109
unclassified	61.1111		0
RB10	90.7251	NB47	100
unclassified	43.5004		0
RB10	75.1265	NB03	85.678
RB11	100	NB26	100
RB12	79.9665	unclassified	43.134
RB11	85.7143	NB11	86.4751
RB10	100	NB26	100
RB10	87.774	NB37	100
unclassified	27.9832		0
RB11	100	NB45	100
RB10	100	NB80	80.5438
RB10	90.6542	unclassified	48.1733
unclassified	42.2654		0
RB12	100	unclassified	47.8335
RB12	100	NB90	82.6124
unclassified	35.5802		0
unclassified	64.945		0
RB10	100	unclassified	44.6773
unclassified	50.2131		0
unclassified	48.8235		0
RB10	76.8128	NB95	100
RB12	100	NB78	100
RB12	100	NB46	95.8893
unclassified	42.2654		0
RB09	91.5469	unclassified	38.9217
unclassified	50.5042		0
unclassified	42.2654		0
unclassified	36.4706		0
RB10	91.7587	unclassified	59.5943
unclassified	64.6154		0
RB12	100	NB64	100
RB10	100	unclassified	54.4688
RB10	95.7519	unclassified	46.232
unclassified	50.5042		0
RB10	100	unclassified	44.7749
RB10	100	NB68	72.0375
RB09	100	unclassified	44.9789
RB11	100	NB90	100
RB10	77.3152	unclassified	67.8602
RB10	74.7049	NB28	100
RB10	100	NB91	100
RB10	100	NB47	100
unclassified	66.8634		0
RB10	95.7841	NB63	100
unclassified	32.1008		0
unclassified	47.8335		0
RB11	100	NB06	100
RB10	100	unclassified	49.3628
RB10	82.4979	NB69	100
RB10	100	NB69	91.5612
RB11	73.9645	NB22	95.8475
unclassified	68.3855		0
RB09	95.9425	NB80	85.6415
RB12	100	NB84	100
unclassified	50.2131		0
RB09	100	unclassified	39.5567
unclassified	51.1864		0
unclassified	41.2712		0
unclassified	50.5042		0
RB09	100	NB10	100
RB10	70.5734	NB70	100
